"Film Making Club, BITS Pilani",https://www.youtube.com/channel/UCH1AueRsbbGLcWhYvNyvxMQ
"Dance Club, BITS Pilani",https://www.youtube.com/channel/UCY5TOs9F6rhGpiXw-KM0eQw
"Mime Club, BITS Pilani",https://www.youtube.com/channel/UCyU-_Uz5Ki4SaF7eB2BOvqQ
English Press Club,https://epcbitspilani.wordpress.com/
Free Lunch,http://www.freelunch.co.in/
BITSMUN,http://www.bitsmun.co.in/
Hindi Press Club,https://hindipressclub.wordpress.com/
Inspired Karters-Baja,https://ikrbaja.wordpress.com/
Nirmaan,http://www.nirmaan.org/
"National Service Scheme (NSS), BITS Pilani",http://nssbitspilani.org/
"Public Policy Club, BITS Pilani",https://ppcbitspilani.wordpress.com
BITS ACM,http://bitsacm.acm.org/
Economics and Finance Association (EFA) BITS Pilani,https://efabppc.wordpress.com/
Team Robocon BITS Pilani,https://teamroboconbitspilani.wordpress.com/
Poetry Club,http://poetryclubbits.tumblr.com/
Wall Street Club,https://wscbits.wordpress.com/
"Astro Club, BITS Pilani",http://astroclub-bitspilani.blogspot.com/
BITS Pilani Consulting Club,https://bitspilaniconsulting.wordpress.com/
"Hindi Drama Club, BITS Pilani",http://hindidramaclub.blogspot.com/
"Department of Visual Media, BITS Pilani",https://github.com/dvm-bitspilani
Society for Student Mess Services (SSMS),http://www.ssms-pilani.org/
BITS Pilani Freshers' Guide,https://bitspilanifreshers.wordpress.com/
Inspired Karters-FS,http://inspiredkarters-fs.com/
,
,
,
,
